VENDOR_CODE,LEGAL_NAME,ALIAS,PRINCIPLE_CONTACT,EMAIL,PHONE,PHONE_EXT,FAX,FAX_EXT,STREET_1,STREET_2,CITY,STATE,ZIP
V00000932848,Juan Carlos Garza,Corza Construction,JuanCarlos  Garza,juancarlos@corzaconstruction.com,8307036846,,8007036846,,11233 Kirkland Hill Path,,Austin,TX,78754
VS0000030611,Lewis Concrete Restoration,,Sherry Lewis,sherrylewis@austin.rr.com,5129833283,,,,405 Ware Dr,,Buda,TX,78610
V00000942747,"Jecker Fields Service, Inc",,Scott  Jecker,swjecker@whitentongroup.com,5123533344,,,,3413 Hunter Rd.,,San Marcos,TX,78666
GIB8314791,GIBSON CONCRETE L L C,,Misty Storey,misty@gibson-concrete.com,5122514636,,5122517986,,4613 Priem Lane,,Pflugerville,TX,78660
VS0000024684,"ESA Energy Systems Associates, Inc.",,Chris Carter,ccarter@esa-engineers.com,5122580547,,,,1111 N Interstate 35,Suite 212,Round Rock,TX,78664
V00000944501,Loretta Janette Sanchez,Rooster Cain,Loretta J Sanchez,loretta@roostercain.com,5127974935,,,,1201A W 39 1/2 St,,Austin,TX,78756
VS0000030625,Austin/San Antonio Concrete Raising LLC,Concrete Raising of Austin,Neale VanStreepen,neale@austincrc.com,5124107378,,5123086777,,1720 Howard Lane,,Austin,TX,78708
VS0000033481,AUTOARCH Architects LLC,,Lina Sabouni,lina@autoarch.net,7139523366,11,7139525002,,6200 Savoy Drive,Suite 100,Houston,TX,77036
VS0000036580,LEDs Unlimited LLC,,Tracy Nelson,tracy@leds-unlimited.co,8772490113,,5124325155,,3300 Parliament,,Lago Vista,TX,78645
ENT8322062,ENTERPRISE SYSTEMS CORPORATION,,DARLENE VANCURA,dvancura@enter-sys.com,7133431233,,7133431250,,10910 W SAM HOUSTON PKWY N #100,,HOUSTON,TX,77064
VS0000019008,"MARIO L CARLIN MANAGEMENT, LLC",,MARIO CARLIN,mariocarlin@aol.com,5124177495,,,,8711 Burnet Rd.,Suite E52,ROUND ROCK,TX,78757
V00000902351,Straight Line Management LLC,Straight Line Management,Sherrika   Arch,straightlinem@gmail.com,2107236147,,,,734 N. New Braunfels Suite 102,,San Antonio,TX,78202
V00000921855,"Nova Landscape Group, Inc.",,Aimee  Merrell,aimeem@novalg.com,5126278695,,,,307 N Jackson Ave,,Wylie,TX,75098
V00000921923,"TDHServices, Inc.",,Mario Manuel Ramos,tdhsinc@yahoo.com,9363722726,,9363720904,,5117 E. Cesar Chavez Suite TDH,,Austin,TX,78702
VC0000103459,COMANCHE XPRESS LLC,COMANCHE XPRESS,TROY JOHNSON,COMANCHEEXPRESS@AUSTIN.RR.COM,5127712692,,5129040022,,PO BOX 144402,,AUSTIN,TX,78714
V00000940121,ATX Construction Clean Up Inc,ATX Construction Clean,Amy  Teykl,amy@atxconstructionclean.com,5129479817,,,,1712 East Riverside  box 200,,Austin,TX,78741
ALL8309379,ALLIED ASSOCIATES COMMERCIAL FLOORS INC,,ELMA DEMORY,ELMA@ALLIEDACF.COM,2106469090,,2106469092,,130 A PALISADES DR,,UNIVERSAL CITY,TX,78148
STE8305142,STEINMAN LUEVANO STRUCTURES LLP,,John Steinman,john@slstructures.com,5128916766,,5128916966,,5901 OLD FREDERICKSBURG RD B101,,AUSTIN,TX,78749
BOM0739250,BOMMARITO GROUP INC (THE),THE BOMMARITO GROUP,MARLA BOMMARITO-CROUCH,MARLA@BOMMARITOGROUP.COM,5124808898,,5124809451,,"1512 W. 35TH ST. CUTOFF, #300",,AUSTIN,TX,78731-6316
ADV7008080,AFFORDABLE LAWN CARE AND LANDSCAPING INC,ADVANCE LANDSCAPE DESIGNS,VINCENT UHEREK,vincent@advancelandscapedesign.com,5129188009,,5129180162,,13523 POND SPRINGS RD,,AUSTIN,TX,78729-4415
V00000939316,GGE DESIGN & CONSULTING,,GISELA B ANDREU,giselaa.ggedc@gmail.com,5123738522,,5122195209,,13608-B BULLICK HOLLOW RD,,AUSTIN,TX,78726
V00000945273,"Precision Contracting Services, Inc.",,Suellen  Herbert,sherbert@pcsfiber.com,5617439737,7102,5617430775,,15834 Guild Court,,Jupiter,FL,33478
VOR8322146,VORTEX DRILLING INC,,TAMI MAY,VORTEXDRILLING@SBCGLOBAL.NET,2106967114,,2106961355,,4412 BLUEMEL RD,,SAN ANTONIO,TX,78240-1007
V00000902075,Miller Gray LLC,,Dale  Gray,dale.gray@miller-gray.com,5126571176,,,,PO Box 303130,,Austin,TX,78703
PRI7031445,PRISM DEVELOPMENT INC,,Betty Vera,betty@prismdevelopmentinc.com,5124799587,,5124799591,,2709 E 5TH ST,,AUSTIN,TX,78702-4729
V00000945717,C2 Concrete Inc.,,Gabriel  Cosme,gcosme@c2concrete.com,5126665064,,5126665066,,15907 Windermere Dr.,Suite 3-E,Pflugerville,TX,78600
HAG8308822,HAGLER & KERR LLC,,INGRID RUFFIN,ingridm@haglerandkerr.com,5128379660,,5128370478,,PO BOX 1049,,AUSTIN,TX,78653
VS0000031042,Architecture Roof Systems LLC,,kristie Imbriaco,kristie@artechroof.com,5128437663,,8776956426,,PO BOX 5115,,round rock,TX,78683
V00000940391,"Gralan Enterprises, Inc.",,Grace Alvarado,galvarado@gralan.net,2815314335,,,,626 Highway 6 S.,,Houston,TX,77079
VS0000036580,LEDs Unlimited LLC,,Tracy Nelson,tracy@leds-unlimited.co,8772490113,,5124325155,,3300 Parliament,,Lago Vista,TX,78645
PEA7124270,PEABODY GENERAL CONTRACTORS INC,PEABODY GENERAL CONTRACTORS,SHELLY PEABODY,shelley@peabodygeneral.com,5123891005,,5123891000,,915 Dalton Lane,,Austin,TX,78742
V00000940677,Grass Shepherd LLC,William Alex Brown,William  Brown,william1966.abrown@gmail.com,5124660679,,,,17801 Turning Stream Ln,,Plugerville,TX,78660
VS0000033747,"TAB Solutions, Inc.",TAB Solutions,Kristine Bessent,tabsolutions@ymail.com,7202201114,,,,2121 Lohman's Crossing Road,"Ste., 504, #452",Lakeway,TX,78734
VS0000012711,Environmental Safety Services Inc.,,Joe Lopez,enviross@hotmail.com,5129892259,,5123729375,,14101 Hwy 290 W,"Bldg. 400, Suite C",Austin,TX,78737
GRA7130335,GRAM TRAFFIC COUNTING INC,,Audrey Bielss,audrey@gramtraffic.com,5128328650,,5128336471,,3751 FM 1105,Bldg. A,Georgetown,TX,78626
STA8309511,STANDARD CEMENT MATERIALS INC,,MARIO TAMEZ,mtamez@standardcement.com,7136800482,,7136801017,,5710 W 34TH ST STE A,,HOUSTON,TX,77092-6520
V00000909501,"ZLynx Enterprise, Inc",,Clarence  Williams,clarence@zlynxenterprise.com,5124518828,203,5124679808,,"6448 Highway 290 East, Suite E107",,Austin,TX,78723
V00000916591,CLAUDIA  SERNA,SERNA'S TRUCKING,CLAUDIA SERNA,serna.trucking@gmail.com,5124667084,,5123924726,,P.O. Box 2100,,Kyle,TX,78640
VS0000011064,"Texas Energy Engineering Services, Inc.",TEESI Engineering,Saleem Khan,saleem@teesi.com,5123282533,201,5123282544,,1301 S. Capital of Texas Highway,Suite B-325,Austin,TX,78746
VS0000007788,Merrigan Electric LLC,,Christine Merrigan,cmerrigan01@yahoo.com,5129443217,,5125927988,,706 Riva Ridge Dr,,Leander,TX,78641
VC0000103339,GG'S CONSTRUCTION LLC,GG'S CONSTRUCTION,ROLANDO OSORIO,rolandooggs@gmail.com,5122578075,,5122195209,,13608 bullick hollow road,,Austin,TX,78726
V00000920091,"Tejas Premier Building Contractor, Inc.",,Julissa  Carielo,julissa@tejaspremierbc.com,2108215858,,2108215862,,1811 S. Laredo St.,,San Antonio,TX,78207
LON8319967,LONGORIA MASONRY INC,,JESUS LONGORIA,longoriamasonryinc@gmail.com,5123983188,,5126053707,,730 Old Lockhart Rd,,Lockhart,TX,78644
VS0000034116,Gabriel  Garcia Jimenez,"Speedy Paving, LLC",Gabriel Garcia Jimenez,speedypaving@yahoo.com,5127514284,,5129855392,,2365 HWY 71 W,,CEDAR CREEK,TX,78612
SOL8307852,SOLIS CONSTRUCTORS INC,,J. EDWARD LOWENBERG,elowenberg@solisconstructors.com,5124500280,,5123809670,,"7700 W. Highway 71, Suite 370",,AUSTIN,TX,78735
DIV8319156,Diva Imaging LLC,,SALLIE BURCHETT,INFO@DIVAIMAGING.COM,5124732527,,,,2003 LA CASA DR,,AUSTIN,TX,78704-4720
V00000944834,Nordell Construction Company,Lena K. Nordell,lena kristina nordell,lenabestbuilder@aol.com,5126968981,,,,3903 e. 16th st.,,austin,TX,78721
V00000916213,360TXC LLC,,Dana  Lester,dlester@360txc.com,5125740623,,,,3000 Joe Dimaggio Blvd #83,,Round Rock,TX,78665
V00000943360,"KDK Group, LLC",,Deborah  Arizmendi-Kopack,dkopack@kdkgroupatx.com,7138847411,,,,"1779 Wells Branch Pkwy, Ste 110B",,Austin,TX,78728
STR8322676,STRUCTURESPE L L P,STRUCTURES,JERRY GARCIA,jerry@structurestx.com,5124990919,,5123208521,,6926 N. Lamar,,AUSTIN,TX,78752
ALT8318156,ALTERSTUDIO ARCHITECTS L L P,Alter Studio,KEVIN ALTER,KEVINALTER@ALTERSTUDIO.NET,5124998007,,5124998049,,1403 RIO GRANDE,,AUSTIN,TX,78701-2062
V00000945499,Expandtree Inc,,Harikishore  Bachina,info@expandtree.com,5127721539,,7376669512,,"10711 Burnet Road, Suite 315",,Austin,TX,78758
V00000946659,Zeppelin Enterprises,,Garth  Armstrong,garthblimp@gmail.com,8172016510,,,,1913 Overland,,Fort Worth,TX,76131
V00000937364,"CTX Electric, Inc.",CTX ELectric,Alberto  Villarreal,albert@ctxelectric.com,7372058003,,,,7801 N. Lamar Blvd. Ste E-192,,Austin,TX,78752
V00000904885,The AB&Y Group LLC,,Chris Arellano,carellano@theabygroup.com,5127722727,,5127820202,,4611 Bee Cave Rd.,Suite 306A,Austin,TX,78746
VS0000020711,MCCO Group Inc. dba C Glass,,Calvin Jr. Mitchell,calvinm@cglass.us,5124894443,,5122012955,,P.O. Box 550,,Taylor,TX,76574
V00000944742,Digital iTechnology LLC,,Lovey  Agarwal,admin@digitalitus.com,3852260034,,,,3007 Rock Rose Place,,Round Rock,TX,78665
ENC1735650,ENCOTECH ENGINEERING CONSULTANTS INC,,ALI R KHATAW,ali.khataw@eec-tx.com,5123381101,101,5123381160,,"8500 BLUFFSTONE COVE, #B-103",,AUSTIN,TX,78759
WOO7143440,WOOLERY CUSTOM FENCE CO,,ESTELLE WOOLERY,bids@wooleryfence.com,5122812186,,5122335396,,P.O. Box 986,,ELGIN,TX,78621-5585
V00000935461,Mario Vasquez,Swift Corporation LLC,Mario  Vasquez,info@swiftcorptx.com,5124707575,,,,3585 Rocking J Rd.,,Round Rock,TX,78665
V00000919593,"T. Gray Utility & Rehab Co., LLC",,MARCUS E TAMEZ,marcus.tamez@tgrayutility.com,2814550899,,2812547995,,5039 Steffani Lane,,Houston,TX,77041
VS0000036528,Central Texas Express Metalwork LLC,Express Contracting,Kara Clayton,kara@myexpresscontracting.com,2103372260,,2103590089,,304 El Paso St,,San Antonio,TX,78207
RAM8306287,RAMI TRANSPORTATION INC,,DAMASO ROJO,ramitrans@aol.com,5128458358,,5122476416,,7719 MCANGUS RD,,DEL VALLE,TX,78617-5911
ARC7068555,AUSTIN ARCHITECTURE PLUS INC,ARCHITECTURE + PLUS aka ARCHITECTURE PLUS,BETTY J TRENT,info@austinarchplus.com,5124780970,,5124780920,,1907 N LAMAR BLVD STE 260,,AUSTIN,TX,78705-4900
V00000933636,Robert M Medel,Medel Trucking,Robert M Medel,medeltrucking@yahoo.com,5128500827,,5122439414,,10811 San Jose venue,,Del Valle,TX,78617
V00000936622,Haka Services LLC,,Glenn  Burnett,hakaservices@gmail.com,5127312731,,,,2027 Cornelia Trimble Way,,Buda,TX,78610
V00000905724,Robert  E Ashford,Ash-Nem Trucking,Robert  Earl Ashford,ashnemhauling@gmail.com,5122471293,,,,P O Box 16478,,Austin,TX,78761
V00000917285,"Heavy Roadway Construction Services, LLC",,mario  cano,heavyroadwaycs@gmail.com,5125678710,,,,1305 Terrace View Dr,,Cedar Park,TX,78613
VS0000029784,DLB Industries LLC,DLB Industries,Diana Lerma-Bounds,d.bounds@dlbindustriesllc.com,5126374229,,5126374234,,5321 Industrial Oaks Blvd. ste 126,,AUSTIN,TX,78735
AUS0494500,AUSTEX CONCRETE CONSTRUCTION,,JERRY ACOSTA,AUSTEXCONCRETE@GMAIL.COM,5123852401,,5123852488,,1116 WALTON LN,,AUSTIN,TX,78721-3023
V00000943977,Daniel  Salazar,Strongarms Painting Drywall,Daniel  Salazar,strongarms25@yahoo.com,5128881118,,,,2810 Gonzales St,,Austin,TX,78702
V00000947547,Clarkson  Reid,Reid Inspection and Testing,clarkson  reid,creid22842@hotmail.com,5127404730,,,,15601 pumpkin ridge dr,,Austin,TX,78717
V00000947205,JC TORRES LLC,Norma Vazquez,Norma Alicia vazquez de Torres,norma.vazquez@ni.com,5129255121,,,,2419 HALLIE LANE,,ROUND ROCK,TX,78664
CHA1096750,CHAPARRAL CEILING & WALL INC.,Ace Remodeling & Design,JOE CHAPA,chaparralceilingandwall@austin.rr.com,5123855000,,5129265650,,PO BOX 6476,,AUSTIN,TX,78762-6476
V00000919820,Casto Lopez Concrete LLC,CL Concrete,Venancio Lopez,info@castolopezconcretellc.com,5125238295,,,,1955 FM 2001 Suite 200,,Buda,TX,78610
DAT1448250,DATUM ENGINEERS INC,,Erika Passailaigue,erikap@datumengineers.com,5124699490,,,,8140 N. Mopac Expressway,"Building 1, Suite 120",AUSTIN,TX,78759
ROA7009475,ROADWAY SPECIALTIES INC,,Danette Shelton,danette@roadwayspecialties.com,5122806666,,5122806066,,PO BOX 90309,,AUSTIN,TX,78709-0309
GOR8316328,GORRONDONA & ASSOCIATES INC,GORRONDONA & ASSOC INC,Jason Reynolds,jreynolds@ga-inc.net,5127199933,,5127199944,,4201 W. Parmer Ln.,"Suite 150B, Building A",Austin,TX,78727
V00000947599,Marco C Invernizzi,GREEN ORANGE CONSTRUCTION PROFESSIONALS LLC,Marco  Invernizzi,mi@goconstructionpro.com,5129153355,,,,1202 Woodfield Drive Unit A,,Austin,TX,78758
V00000904285,Robert Lathrop Case,Rock Solid USA,Robert  Lathrop Case,info@rocksolidusa.com,5122687000,,5122687005,,228 Edwards Drive,,Kyle,TX,78640
V00000948204,Inova Construction LLC,Sarabi Studio,Payam Sarabi,psarabi@sarabistudio.com,5124250675,,,,6004 Techni Center Drive,Suite 3-102,Austin,TX,78721
V00000938474,"MAS Road & Utilities, Inc.","MAS Road & Utilities, Inc.",Kylie  Smith,masroadandutilities@gmail.com,5126804310,,,,15308 Ginger Street,,Austin,TX,78728
V00000936030,"F & C Eaton Enterprises, LLC",,Charles  Eaton,fceatonenterprise@gmail.com,4439951948,,,,204 City View,,Cedar Hill,TX,75104
